,Amount,Unit,Ingredient,New Unit,New Amount
6,4,TABLESPOONS,GOLDEN FLAXSEED POWDER,TABLESPOONS,4
265,50,GMS,GRATED EXTRA MATURE CHEDDAR CHEESE,GMS,50
263,40,GMS,GRATED MOZZARELLA CHEESE,GMS,40
210,01-Apr,CUP,GREEK YOGHURT,CUP,0.25
207,250,ML,GREEK YOGURT (SOUR IS BETTER),ML,250
288,1,,GREEN CAPSICUM,,1
245,1,,GREEN CARDAMOM,,1
134,3,MEDIUM,GREEN CHILLI,MEDIUM,3
115,2,CHOPPED,GREEN CHILLIES,CHOPPED,2
229,1,"SMALL BUNCH, CHOPPED",GREEN CORIANDER,"SMALL BUNCH, CHOPPED",1
268,to taste,,GROUND BLACK PEPPER,,0
139,01-Feb,CUP,HOT WATER,CUP,0.5
198,as needed,,ICE,,0
270,to taste,,ITALIAN HERBS,,0
267,08-Oct,RINGS,JALAPENOS,RINGS,10
122,1,SQUEEZED,LEMON,SQUEEZED,1
94,2,TABLESPOON,LUKEWARM WATER,TABLESPOON,2
4,1,TABLESPOON,MACADEMIA NUTS,TABLESPOON,1
240,1.5,CUP,MILK,CUP,1.5
277,to taste (optional),,MINT POWDER,,0
52,01-Apr,CUP,OAT FLOUR,CUP,0.25
230,500,GMS,OKRA,GMS,500
28,1,TBSP,OLIVE OIL,TBSP,1
100,1,CHOPPED,ONION,CHOPPED,1
208,01-Apr,TSP,ONION SEEDS,TSP,0.25
291,1,,ORANGE CAPSICUM,,1
285,1,TEASPOON,OREGANO,TEASPOON,1
257,125,GMS,PANEER,GMS,125
262,3,TBSP,PASTA SAUCE,TBSP,3
183,60,GMS,PEA PROTEIN,GMS,60
171,to taste,,PEPPER,,0
162,to taste,,PINK HIMALAYAN SALT,,0
182,10,PIECES,PISTACHIO NUTS,PIECES,10
3,1,TABLESPOON,PISTACHIOS,TABLESPOON,1
280,500,GMS,RADISHES,GMS,500
27,1,HANDFUL,RASPBERIIES,HANDFUL,1
289,1,,RED CAPSICUM,,1
274,to taste,,RED CHILLI FLAKES,,0
152,1,TEASPOON,RED CHILLI POWDER,TEASPOON,1
146,1,LARGE,RED ONION,LARGE,1
281,01-Feb,TABLESPOON,ROCK SALT,TABLESPOON,0.5
286,1,TEASPOON,ROSEMARY,TEASPOON,1
190,Few strands,,SAFFRON (KESAR),,0
73,1,TSP,SALT,TSP,1
252,30,GMS,SALTED BUTTER,GMS,30
228,as needed,,SEASONING,,0
173,3,TABLESPOONS,SMOOTH PEANUT BUTTER,TABLESPOONS,3
242,1.5,CUP,SOYA CHUNKS,CUP,1.5
199,60,GMS (4 TABLESPOONS),SOYA FLOUR,GMS,60
197,1.5L,,SPARKLING WATER,,1.5
39,1,TSP,SUGAR,TSP,1
140,as needed,,SUGARFREE TOMATO KETCHUP,,0
217,01-Feb,CUP,SUNFLOWER SEED FLOUR,CUP,0.5
293,1,LARGE,SWEDE OR CELERIAC,LARGE,1
261,2,TSP,TANDOORI MASALA,TSP,2
161,250,GMS,TOFU,GMS,250
112,1,CHOPPED,TOMATO,CHOPPED,1
151,1,TEASPOON,TURMERIC,TEASPOON,1
212,01-Apr,TSP,TURMERIC POWDER,TSP,0.25
184,125,GMS,UNSALTED BUTTER,GMS,125
195,1,TEASPOON,VANILLA EXTRACT,TEASPOON,1
297,4,MEDIUM,VINE TOMATOES,MEDIUM,4
259,2,TSP,VIRGIN OLIVE OIL,TSP,2
43,1,CUP,VITAL WHEAT GLUTEN,CUP,1
1,1,TABLESPOON,WALNUTS,TABLESPOON,1
201,04-Jun,TABLESPOONS,WARM WATER,TABLESPOONS,6
10,4,TABLESPOONS,WATER,TABLESPOONS,4
209,4,MEDIUM,WATER-SOAKED DRY RED CHILLIES,MEDIUM,4
48,01-Apr,CUP,WHEAT BRAN,CUP,0.25
200,10,GMS (2 TEASPOONS),WHEAT FOUR,GMS,10
196,infuser full,,WHOLE CINNAMON STICKS,,0
189,120,ML,WHOLE MILK,ML,120
253,01-Mar,,YELLOW CAPSICUM,,0.333333333
