,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
46,5,TABLESPOONS, RECIPE_001_FLAXSEED_PORRIDGE.MD,GOLDEN FLAXSEED POWDER,5,TABLESPOONS
47,2.5,TABLESPOONS, RECIPE_001_FLAXSEED_PORRIDGE.MD,FULL FAT GREEK YOGURT,2.5,TABLESPOONS
48,5,TABLESPOONS, RECIPE_001_FLAXSEED_PORRIDGE.MD,WATER,5,TABLESPOONS
49,1.5,TEASPOON, RECIPE_001_FLAXSEED_PORRIDGE.MD,ERYTHRITOL,1.5,TEASPOON
50,1,HANDFUL, RECIPE_001_FLAXSEED_PORRIDGE.MD,BLUEBERRIES,1,HANDFUL
51,1,HANDFUL, RECIPE_001_FLAXSEED_PORRIDGE.MD,RASPBERIIES,1,HANDFUL
52,3/4,CUP(86G), RECIPE_002_ALMOND_BREAD.MD,BLANCHED ALMOND FLOUR,0.75,CUP
53,1/2,TEASPOON, RECIPE_002_ALMOND_BREAD.MD,BAKING POWDER,0.5,TEASPOON
54,1,TABLESPOON, RECIPE_002_ALMOND_BREAD.MD,FULL FAT GREEK YOGURT,1,TABLESPOON
55,1/4,TEASPOON, RECIPE_002_ALMOND_BREAD.MD,SALT,0.25,TEASPOON
56,to taste,, RECIPE_002_ALMOND_BREAD.MD,SALT,0,
57,1,TABLESPOON, RECIPE_002_ALMOND_BREAD.MD,OLIVE OIL,1,TABLESPOON
58,2,TABLESPOON (LUKEWARM), RECIPE_002_ALMOND_BREAD.MD,WATER,2,TABLESPOON
59,2-3,SPRAYS, RECIPE_002_ALMOND_BREAD.MD,BAKING SPRAY,3,SPRAYS
60,150,GMS(MEDIUM SIZED), RECIPE_002_ALMOND_BREAD.MD,AVOCADO,150,GMS
61,150,GMS(MEDIUM SIZED CHOPPED), RECIPE_002_ALMOND_BREAD.MD,ONION,150,GMS
62,3,CLOVES(GRATED), RECIPE_002_ALMOND_BREAD.MD,GARLIC,3,CLOVES
63,10,GMS(1-2 CHOPPED), RECIPE_002_ALMOND_BREAD.MD,TOMATO,10,GMS
64,10,GMS(2 MEDIUM CHOPPED), RECIPE_002_ALMOND_BREAD.MD,GREEN CHILLIES,10,GMS
65,2.5,TBSP(1 FRESHLY SQUEEZED), RECIPE_002_ALMOND_BREAD.MD,LEMON,2.5,TBSP
66,to taste,, RECIPE_002_ALMOND_BREAD.MD,BLACK PEPPER,0,
67,30,GMS(1 BUNCH), RECIPE_003_KETO_DHOKLA.MD,FRESH CORRIANDER LEAVES,30,GMS
68,30,GMS(1 BUNCH), RECIPE_003_KETO_DHOKLA.MD,FRESH MINT,30,GMS
69,15,GMS(3 MEDIUM), RECIPE_003_KETO_DHOKLA.MD,GREEN CHILLI,15,GMS
70,10,GMS(2 CHOPPED), RECIPE_003_KETO_DHOKLA.MD,GREEN CHILLI,10,GMS
71,1,CLOVE, RECIPE_003_KETO_DHOKLA.MD,GARLIC,1,CLOVE
72,2.5,TBSP(1 FRESHLY SQUEEZED), RECIPE_003_KETO_DHOKLA.MD,LEMON,2.5,TBSP
73,to taste,, RECIPE_003_KETO_DHOKLA.MD,SALT,0,
74,1/4,TEASPOON, RECIPE_003_KETO_DHOKLA.MD,SALT,0.25,TEASPOON
75,3/4,CUP(86G), RECIPE_003_KETO_DHOKLA.MD,BLANCHED ALMOND FLOUR,0.75,CUP
76,1/2,TEASPOON, RECIPE_003_KETO_DHOKLA.MD,BAKING POWDER,0.5,TEASPOON
77,1,TABLESPOON, RECIPE_003_KETO_DHOKLA.MD,FULL FAT GREEK YOGURT,1,TABLESPOON
78,1,TABLESPOON, RECIPE_003_KETO_DHOKLA.MD,OLIVE OIL,1,TABLESPOON
79,2,TABLESPOONS, RECIPE_003_KETO_DHOKLA.MD,OLIVE OIL,2,TABLESPOONS
80,2,TABLESPOON (LUKEWARM), RECIPE_003_KETO_DHOKLA.MD,WATER,2,TABLESPOON
81,1/2,CUP (HOT), RECIPE_003_KETO_DHOKLA.MD,WATER,0.5,CUP
82,2-3,SPRAYS, RECIPE_003_KETO_DHOKLA.MD,BAKING SPRAY,3,SPRAYS
83,1,TEASPOON, RECIPE_003_KETO_DHOKLA.MD,BLACK MUSTARD,1,TEASPOON
84,2,TEASPOONS, RECIPE_003_KETO_DHOKLA.MD,ERYTHRITOL,2,TEASPOONS
85,as needed,, RECIPE_003_KETO_DHOKLA.MD,SUGARFREE TOMATO KETCHUP,0,
86,2-3,MEDIUM SIZE, RECIPE_004_SCRAMBLED_TOFU.MD,GREEN CHILLIES,3,MEDIUM SIZE
87,100,GMS(1 LARGE), RECIPE_004_SCRAMBLED_TOFU.MD,TOMATO,100,GMS
88,1,TBSP(1 INCH), RECIPE_004_SCRAMBLED_TOFU.MD,GINGER,1,TBSP
89,200,GMS(1 LARGE), RECIPE_004_SCRAMBLED_TOFU.MD,RED ONION,200,GMS
90,3,CLOVES, RECIPE_004_SCRAMBLED_TOFU.MD,GARLIC,3,CLOVES
91,3,TABLESPOONS, RECIPE_004_SCRAMBLED_TOFU.MD,AVOCADO OIL,3,TABLESPOONS
92,1,TEASPOON, RECIPE_004_SCRAMBLED_TOFU.MD,CUMIN,1,TEASPOON
93,1,TEASPOON, RECIPE_004_SCRAMBLED_TOFU.MD,TURMERIC,1,TEASPOON
94,1,TEASPOON, RECIPE_004_SCRAMBLED_TOFU.MD,RED CHILLI POWDER,1,TEASPOON
95,250,GMS, RECIPE_004_SCRAMBLED_TOFU.MD,TOFU,250,GMS
96,to taste,, RECIPE_004_SCRAMBLED_TOFU.MD,PINK HIMALAYAN SALT,0,
97,to taste,, RECIPE_004_SCRAMBLED_TOFU.MD,PEPPER,0,
98,2,TBSP, RECIPE_005_KETO_UPMA.MD,GHEE,2,TBSP
99,1,TBSP, RECIPE_005_KETO_UPMA.MD,GHEE,1,TBSP
100,1,TBSP, RECIPE_005_KETO_UPMA.MD,GHEE,1,TBSP
101,1,CUP, RECIPE_005_KETO_UPMA.MD,ALMOND FLOUR,1,CUP
102,2.5,TBSP, RECIPE_005_KETO_UPMA.MD,PEANUTS,2.5,TBSP
103,60,GMS (8-10), RECIPE_005_KETO_UPMA.MD,CASHEW NUTS,60,GMS
104,2,TBSP, RECIPE_005_KETO_UPMA.MD,EXTRA VIRGIN OLIVE OIL,2,TBSP
105,1/2,TSP, RECIPE_005_KETO_UPMA.MD,MUSTARD SEEDS,0.5,TSP
106,1/4,TSP, RECIPE_005_KETO_UPMA.MD,CUMIN SEEDS,0.25,TSP
107,1/2,TSP, RECIPE_005_KETO_UPMA.MD,CHANA DAL,0.5,TSP
108,1,TBSP, RECIPE_005_KETO_UPMA.MD,URAD DAL,1,TBSP
109,10,GMS, RECIPE_005_KETO_UPMA.MD,CURRY LEAVES,10,GMS
110,1,INCH (CHOPPED), RECIPE_005_KETO_UPMA.MD,GINGER,1,INCH
111,30,GMS (3 FINELY CHOPPED), RECIPE_005_KETO_UPMA.MD,GREEN CHILLIES,30,GMS
112,100,GMS( 1 MEDIUM), RECIPE_005_KETO_UPMA.MD,ONION,100,GMS
113,to taste,, RECIPE_005_KETO_UPMA.MD,PINK HIMALAYAN SALT,0,
114,1/2,TSP, RECIPE_005_KETO_UPMA.MD,TURMERIC POWDER,0.5,TSP
115,1/4,TSP (DEGI), RECIPE_005_KETO_UPMA.MD,RED CHILLI POWDER,0.25,TSP
116,1,CUP, RECIPE_005_KETO_UPMA.MD,TOMATO PUREE,1,CUP
117,1/2,TSP, RECIPE_005_KETO_UPMA.MD,ERYTHRITOL,0.5,TSP
118,3,CUPS, RECIPE_005_KETO_UPMA.MD,WATER,3,CUPS
119,100,GMS (2 MEDIUM CHOPPED), RECIPE_005_KETO_UPMA.MD,TOMATOES,100,GMS
120,1/2,TBSP, RECIPE_005_KETO_UPMA.MD,LEMON JUICE,0.5,TBSP
121,2,TBSP (CHOPPED), RECIPE_005_KETO_UPMA.MD,FRESH CORIANDER,2,TBSP
122,2,TBSP (CHOPPED), RECIPE_005_KETO_UPMA.MD,FRESH MINT LEAVES,2,TBSP
123,10,GMS(1 FINELY CHOPPED), RECIPE_005_KETO_UPMA.MD,GREEN CHILLI,10,GMS
124,1/2,TABLESPOON, RECIPE_001_PEANUT_MUGCAKE.MD,BAKING POWDER,0.5,TABLESPOON
125,1,TABLESPOON, RECIPE_001_PEANUT_MUGCAKE.MD,ERYTHRITOL,1,TABLESPOON
126,1,, RECIPE_001_PEANUT_MUGCAKE.MD,EGG,1,
127,3,TABLESPOONS, RECIPE_001_PEANUT_MUGCAKE.MD,SMOOTH PEANUT BUTTER,3,TABLESPOONS
128,as needed,, RECIPE_001_PEANUT_MUGCAKE.MD,BAKING SPRAY,0,
129,1,GRATED, RECIPE_002_BOTTLEGOURD_HALWA.MD,BOTTLEGOURD,1,GRATED
130,2,TABLESPOONS, RECIPE_002_BOTTLEGOURD_HALWA.MD,CLARIFIED BUTTER (GHEE),2,TABLESPOONS
131,2,TABLESPOONS, RECIPE_002_BOTTLEGOURD_HALWA.MD,DOUBLE CREAM,2,TABLESPOONS
132,2,TABLESPOONS, RECIPE_002_BOTTLEGOURD_HALWA.MD,ERYTHRITOL,2,TABLESPOONS
133,1,TEASPOON, RECIPE_002_BOTTLEGOURD_HALWA.MD,CARDAMOM POWDER,1,TEASPOON
134,8,GMS(5 PIECES), RECIPE_002_BOTTLEGOURD_HALWA.MD,CASHEW NUTS,8,GMS
135,6,GMS(5 PIECES), RECIPE_002_BOTTLEGOURD_HALWA.MD,ALMOND NUTS,6,GMS
136,6,GMS(10 PIECES), RECIPE_002_BOTTLEGOURD_HALWA.MD,PISTACHIO NUTS,6,GMS
137,60,GMS, RECIPE_003_PROTEIN_FUDGE.MD,PEA PROTEIN,60,GMS
138,125,GMS, RECIPE_003_PROTEIN_FUDGE.MD,UNSALTED BUTTER,125,GMS
139,5,GMS, RECIPE_003_PROTEIN_FUDGE.MD,UNSALTED BUTTER,5,GMS
140,120,ML, RECIPE_003_PROTEIN_FUDGE.MD,DOUBLE THICK CREAM,120,ML
141,120,ML, RECIPE_003_PROTEIN_FUDGE.MD,WHOLE MILK,120,ML
142,80,GMS, RECIPE_003_PROTEIN_FUDGE.MD,ERYTHRITOL,80,GMS
143,Few strands,, RECIPE_003_PROTEIN_FUDGE.MD,SAFFRON (KESAR),0,
144,1,TSP(5 PEELED CRUSHED), RECIPE_003_PROTEIN_FUDGE.MD,CARDAMOM,1,TSP
145,1,TSP(5 PEELED CRUSHED), RECIPE_003_PROTEIN_FUDGE.MD,CARDAMOM,1,TSP
146,1,TBSP, RECIPE_003_PROTEIN_FUDGE.MD,DRY DESSICATED COCONUT,1,TBSP
147,2,TBSP, RECIPE_003_PROTEIN_FUDGE.MD,ALMOND FLOUR,2,TBSP
148,30,GMS, RECIPE_003_PROTEIN_FUDGE.MD,CRUSHED CASHEW NUTS,30,GMS
149,1,TEASPOON, RECIPE_003_PROTEIN_FUDGE.MD,VANILLA EXTRACT,1,TEASPOON
150,300,"GMS(3, VERY RIPE)", RECIPE_004_BANANA_BREAD.MD,BANANAS,300,GMS
151,4,TSP, RECIPE_004_BANANA_BREAD.MD,ERYTHRITOL,4,TSP
152,2.5,CUPS, RECIPE_004_BANANA_BREAD.MD,ALMOND FLOUR,2.5,CUPS
153,1,TBSP, RECIPE_004_BANANA_BREAD.MD,ARROWROOT STARCH,1,TBSP
154,1,TSP, RECIPE_004_BANANA_BREAD.MD,BAKING SODA,1,TSP
155,a pinch,, RECIPE_004_BANANA_BREAD.MD,PINK HIMALAYAN SALT,0,
156,1,TSP, RECIPE_004_BANANA_BREAD.MD,VANILLA EXTRACT,1,TSP
157,2,TSP, RECIPE_004_BANANA_BREAD.MD,CINNAMON POWDER,2,TSP
158,1,TBSP, RECIPE_004_BANANA_BREAD.MD,APPLE CIDER VINEGAR,1,TBSP
159,infuser full,, TEST.MD,WHOLE CINNAMON STICKS,0,
160,0.5,L, TEST.MD,WATER,0.5,L
161,1,TBSP, TEST.MD,EGGPLANT,1,TBSP
162,1,TBSP, TEST.MD,GARAM MASALA,1,TBSP
163,1,CUP, TEST.MD,AMLA,1,CUP
164,750,GMS, TEST.MD,BRINJAL,750,GMS
165,2,TSP, TEST.MD,AJWAIN,2,TSP
166,10,GMS (GRATED), TEST.MD,GOOSEBERRY,10,GMS
167,120,GMS, TEST.MD,CHICKEN BREAST,120,GMS
168,1.5,LITRE, TEST.MD,SPARKLING WATER,1.5,LITRE
169,as needed,, TEST.MD,ICE,0,
170,infuser full,, RECIPE_001_SPARKLING_CINNAMON.MD,WHOLE CINNAMON STICKS,0,
171,0.5,L, RECIPE_001_SPARKLING_CINNAMON.MD,WATER,0.5,L
172,1.5,LITRE, RECIPE_001_SPARKLING_CINNAMON.MD,SPARKLING WATER,1.5,LITRE
173,as needed,, RECIPE_001_SPARKLING_CINNAMON.MD,ICE,0,
174,24,GMS (15), RECIPE_002_SPICY_MILK.MD,CASHEW NUTS,24,GMS
175,18,GMS (15), RECIPE_002_SPICY_MILK.MD,ALMOND NUTS,18,GMS
176,18,GMS (15), RECIPE_002_SPICY_MILK.MD,PISTACHIO,18,GMS
177,1,CUP, RECIPE_002_SPICY_MILK.MD,WHOLE MILK,1,CUP
178,1,CUP, RECIPE_002_SPICY_MILK.MD,DOUBLE THICK CREAM,1,CUP
179,0.5,TSP, RECIPE_002_SPICY_MILK.MD,GREEN CARDAMOM POWDER,0.5,TSP
180,0.5,TSP, RECIPE_002_SPICY_MILK.MD,NUTMEG POWDER,0.5,TSP
181,a pinch,, RECIPE_002_SPICY_MILK.MD,SAFFRON,0,
182,2,TBSP, RECIPE_002_SPICY_MILK.MD,ERYTHRITOL,2,TBSP
183,4,MEDIUM, RECIPE_001_KETO_GATTE.MD,WATER-SOAKED DRY RED CHILLIES,4,MEDIUM
184,1/4,CUP, RECIPE_001_KETO_GATTE.MD,GREEK YOGHURT,0.25,CUP
185,1,TSP, RECIPE_001_KETO_GATTE.MD,GREEK YOGHURT,1,TSP
186,1/4,TSP, RECIPE_001_KETO_GATTE.MD,TURMERIC POWDER,0.25,TSP
187,1/4,TSP, RECIPE_001_KETO_GATTE.MD,TURMERIC POWDER,0.25,TSP
188,2,, RECIPE_001_KETO_GATTE.MD,CLOVES,2,
189,1/2,TSP, RECIPE_001_KETO_GATTE.MD,RED CHILLI POWDER,0.5,TSP
190,3/4,TSP, RECIPE_001_KETO_GATTE.MD,RED CHILLI POWDER,0.75,TSP
191,1/2,TSP, RECIPE_001_KETO_GATTE.MD,RED CHILLI POWDER,0.5,TSP
192,1/2,CUP, RECIPE_001_KETO_GATTE.MD,SUNFLOWER SEED FLOUR,0.5,CUP
193,1/4,CUP, RECIPE_001_KETO_GATTE.MD,ALMOND FLOUR,0.25,CUP
194,1/4,TSP, RECIPE_001_KETO_GATTE.MD,BAKING SODA,0.25,TSP
195,1,TBSP, RECIPE_001_KETO_GATTE.MD,VITAL WHEAT GLUTEN,1,TBSP
196,1/4,TSP, RECIPE_001_KETO_GATTE.MD,CAROM SEEDS,0.25,TSP
197,1/4,TSP, RECIPE_001_KETO_GATTE.MD,CAROM SEEDS,0.25,TSP
198,1,TSP, RECIPE_001_KETO_GATTE.MD,OLIVE OIL,1,TSP
199,1/2,TSP, RECIPE_001_KETO_GATTE.MD,OLIVE OIL,0.5,TSP
200,1.5-2,TSP, RECIPE_001_KETO_GATTE.MD,WATER,2,TSP
201,1/2,CUP, RECIPE_001_KETO_GATTE.MD,WATER,0.5,CUP
202,1.5,CUP, RECIPE_001_KETO_GATTE.MD,WATER,1.5,CUP
203,2,TBSP, RECIPE_001_KETO_GATTE.MD,CLARIFIED BUTTER (GHEE),2,TBSP
204,1/4,TSP, RECIPE_001_KETO_GATTE.MD,CUMIN SEEDS,0.25,TSP
205,1/4,TSP, RECIPE_001_KETO_GATTE.MD,ASAFOETIDA,0.25,TSP
206,1,TBSP, RECIPE_001_KETO_GATTE.MD,DRIED FENUGREEK LEAVES,1,TBSP
207,0.5-0.75,KG(BLACK LARGE), RECIPE_002_BAIGAN_BHARTA.MD,AUBERGINE,0.75,KG
208,2,TBSP, RECIPE_002_BAIGAN_BHARTA.MD,GHEE,2,TBSP
209,3-4,CLOVES, RECIPE_002_BAIGAN_BHARTA.MD,GARLIC,4,CLOVES
210,1,INCH, RECIPE_002_BAIGAN_BHARTA.MD,GINGER,1,INCH
211,100,GMS(1 LARGE), RECIPE_002_BAIGAN_BHARTA.MD,TOMATO,100,GMS
212,50,GMS(4-5 FINELY CHOPPED), RECIPE_002_BAIGAN_BHARTA.MD,GREEN CHILLIES,50,GMS
213,to taste,, RECIPE_002_BAIGAN_BHARTA.MD,PINK HIMALAYAN SALT,0,
214,as needed,, RECIPE_002_BAIGAN_BHARTA.MD,SEASONING,0,
215,30,"GMS(1 SMALL BUNCH, CHOPPED)", RECIPE_002_BAIGAN_BHARTA.MD,FRESH CORIANDER,30,GMS
216,500,GMS, RECIPE_003_FRIED_OKRA.MD,OKRA,500,GMS
217,4,TABLESPOONS, RECIPE_003_FRIED_OKRA.MD,AVOCADO OIL,4,TABLESPOONS
218,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,CORRIANDER POWDER,1,TEASPOON
219,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,GARAM MASALA,1,TEASPOON
220,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,CUMIN SEEDS,1,TEASPOON
221,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,PINK HIMALAYAN SALT,1,TEASPOON
222,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,RED CHILLI POWDER,1,TEASPOON
223,1,TEASPOON, RECIPE_003_FRIED_OKRA.MD,TURMERIC POWDER,1,TEASPOON
224,20,"GMS(1-2 FINELY CHOPPED, OPTIONAL)", RECIPE_003_FRIED_OKRA.MD,GREEN CHILLIES,20,GMS
225,75,GMS(1 SMALL CHOPPED), RECIPE_003_FRIED_OKRA.MD,ONION,75,GMS
226,500,GMS, RECIPE_004_FRIED_CAULIFLOWER.MD,CAULIFLOWER,500,GMS
227,4,TABLESPOONS, RECIPE_004_FRIED_CAULIFLOWER.MD,AVOCADO OIL,4,TABLESPOONS
228,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,CORRIANDER POWDER,1,TEASPOON
229,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,GARAM MASALA,1,TEASPOON
230,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,CUMIN SEEDS,1,TEASPOON
231,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,PINK HIMALAYAN SALT,1,TEASPOON
232,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,RED CHILLI POWDER,1,TEASPOON
233,2.5,TEASPOONS, RECIPE_004_FRIED_CAULIFLOWER.MD,RED CHILLI POWDER,2.5,TEASPOONS
234,1,TEASPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,TURMERIC POWDER,1,TEASPOON
235,15,"GMS(1-2 FINELY CHOPPED, OPTIONAL)", RECIPE_004_FRIED_CAULIFLOWER.MD,GREEN CHILLIES,15,GMS
236,75,GMS(1 SMALL CHOPPED), RECIPE_004_FRIED_CAULIFLOWER.MD,ONION,75,GMS
237,2,TABLESPOONS, RECIPE_004_FRIED_CAULIFLOWER.MD,WATER,2,TABLESPOONS
238,1,TABLESPOON, RECIPE_004_FRIED_CAULIFLOWER.MD,GHEE,1,TABLESPOON
239,25,GMS(1 SMALL BUNCH), RECIPE_004_FRIED_CAULIFLOWER.MD,CORRIANDER LEAVES,25,GMS
240,1.5,CUP, RECIPE_005_SOYA_MALAI.MD,MILK,1.5,CUP
241,2,CUP, RECIPE_005_SOYA_MALAI.MD,MILK,2,CUP
242,1.5,CUP, RECIPE_005_SOYA_MALAI.MD,SOYA CHUNKS,1.5,CUP
243,3,TBSP, RECIPE_005_SOYA_MALAI.MD,GHEE,3,TBSP
244,1,TABLESPOON, RECIPE_005_SOYA_MALAI.MD,GHEE,1,TABLESPOON
245,2,, RECIPE_005_SOYA_MALAI.MD,BLACK CARDAMOM,2,
246,1,, RECIPE_005_SOYA_MALAI.MD,GREEN CARDAMOM,1,
247,1/2,TSP, RECIPE_005_SOYA_MALAI.MD,CUMIN SEEDS,0.5,TSP
248,to taste,, RECIPE_005_SOYA_MALAI.MD,PINK HIMALAYAN SALT,0,
249,1,TBSP CHOPPED, RECIPE_005_SOYA_MALAI.MD,GINGER,1,TBSP CHOPPED
250,1/2,TBSP, RECIPE_005_SOYA_MALAI.MD,CORIANDER POWDER,0.5,TBSP
251,2,TBSP, RECIPE_005_SOYA_MALAI.MD,CREAM,2,TBSP
252,1,TBSP, RECIPE_005_SOYA_MALAI.MD,CREAM,1,TBSP
253,2,MEDIUM, RECIPE_005_SOYA_MALAI.MD,GREEN CHILLIES,2,MEDIUM
254,3,TBSP, RECIPE_005_SOYA_MALAI.MD,ALMOND PASTE,3,TBSP
255,1/4,TSP, RECIPE_005_SOYA_MALAI.MD,CARDAMOM POWDER,0.25,TSP
256,1,TBSP, RECIPE_005_SOYA_MALAI.MD,FRESHLY GROUND BLACK PEPPER,1,TBSP
257,1,TSP, RECIPE_005_SOYA_MALAI.MD,DRY FENUGREEK LEAVES,1,TSP
258,2.5,TEASPOONS, RECIPE_005_SOYA_MALAI.MD,RED CHILLI POWDER,2.5,TEASPOONS
259,1,TBSP, RECIPE_006_LOW_CARB_PIZZA.MD,OLIVE OIL,1,TBSP
260,1,TSP, RECIPE_006_LOW_CARB_PIZZA.MD,SUGAR,1,TSP
261,300,ML, RECIPE_006_LOW_CARB_PIZZA.MD,WATER,300,ML
262,1,CUP, RECIPE_006_LOW_CARB_PIZZA.MD,VITAL WHEAT GLUTEN,1,CUP
263,1/4,CUP, RECIPE_006_LOW_CARB_PIZZA.MD,WHEAT BRAN,0.25,CUP
264,1/4,CUP, RECIPE_006_LOW_CARB_PIZZA.MD,OAT FLOUR,0.25,CUP
265,1/4,CUP, RECIPE_006_LOW_CARB_PIZZA.MD,FLAX MEAL,0.25,CUP
266,1/2,CUP, RECIPE_006_LOW_CARB_PIZZA.MD,ALMOND FLOUR,0.5,CUP
267,1,TSP, RECIPE_006_LOW_CARB_PIZZA.MD,BAKING SODA,1,TSP
268,1,TSP, RECIPE_006_LOW_CARB_PIZZA.MD,SALT,1,TSP
269,7,GMS(1 SACHET), RECIPE_006_LOW_CARB_PIZZA.MD,DRIED YEAST,7,GMS
270,30,GMS, RECIPE_006_LOW_CARB_PIZZA.MD,SALTED BUTTER,30,GMS
271,3-4,CLOVES(LARGE), RECIPE_006_LOW_CARB_PIZZA.MD,GARLIC,4,CLOVES
272,35,GMS(1/3), RECIPE_006_LOW_CARB_PIZZA.MD,YELLOW CAPSICUM,35,GMS
273,30,GMS(3-4), RECIPE_006_LOW_CARB_PIZZA.MD,BROWN CHESTNUT MUSHROOMS,30,GMS
274,50,GMS(1/2), RECIPE_006_LOW_CARB_PIZZA.MD,ONION,50,GMS
