,Amount,Unit,Ingredient,New Unit,New Amount
225,1,TBSP,DRIED FENUGREEK LEAVES,TBSP,1
226,2,TSP,DRIED FENUGREEK LEAVES,TSP,2
227,0.5-0.75,KG,BLACK AUBERGINE LARGE ,KG,0.75
228,as needed,,SEASONING,,0
229,1,"SMALL BUNCH, CHOPPED",GREEN CORIANDER,"SMALL BUNCH, CHOPPED",1
230,500,GMS,OKRA,GMS,500
231,4,TABLESPOONS,AVACADO OIL,TABLESPOONS,4
232,4,TABLESPOONS,AVACADO OIL,TABLESPOONS,4
233,1,TEASPOON,CORRIANDER POWDER,TEASPOON,1
234,1,TEASPOON,CORRIANDER POWDER,TEASPOON,1
235,1,TEASPOON,GARAM MASALA,TEASPOON,1
236,1,TEASPOON,GARAM MASALA,TEASPOON,1
237,2,TEASPOON,GARAM MASALA,TEASPOON,2
238,500,GMS,CAULIFLOWER,GMS,500
239,1,SMALL BUNCH,CORRIANDER LEAVES,SMALL BUNCH,1
240,1.5,CUP,MILK,CUP,1.5
241,2,CUP,MILK,CUP,2
242,1.5,CUP,SOYA CHUNKS,CUP,1.5
243,1,CUP,SOYA CHUNKS,CUP,1
244,2,,BLACK CARDAMOM,,2
245,1,,GREEN CARDAMOM,,1
246,1/2,TBSP,CORIANDER POWDER,TBSP,0.5
247,2,TBSP,CREAM,TBSP,2
248,1,TBSP,CREAM,TBSP,1
249,3,TBSP,ALMOND PASTE,TBSP,3
250,1,TBSP,FRESHLY GROUND BLACK PEPPER,TBSP,1
251,1,TSP,DRY FENUGREEK LEAVES,TSP,1
252,30,GMS,SALTED BUTTER,GMS,30
253,1/3,,YELLOW CAPSICUM,,0.3333333333333333
254,1,,YELLOW CAPSICUM,,1
255,4,,BROWN CHESTNUT MUSHROOMS,,4
256,1,RING,CANNED PINEAPPLE,RING,1
257,125,GMS,PANEER,GMS,125
258,250,GMS,PANEER,GMS,250
259,2,TSP,VIRGIN OLIVE OIL,TSP,2
260,1.5,TBSP,VIRGIN OLIVE OIL,TBSP,1.5
261,2,TSP,TANDOORI MASALA,TSP,2
262,3,TBSP,PASTA SAUCE,TBSP,3
263,40,GMS,GRATED MOZZARELLA CHEESE,GMS,40
264,20,GMS,GRATED MOZZARELLA CHEESE,GMS,20
265,50,GMS,GRATED EXTRA MATURE CHEDDAR CHEESE,GMS,50
266,1,CUP,GRATED EXTRA MATURE CHEDDAR CHEESE,CUP,1
267,8-10,RINGS,JALAPENOS,RINGS,10
268,to taste,,GROUND BLACK PEPPER,,0
269,to taste,,GROUND BLACK PEPPER,,0
270,to taste,,ITALIAN HERBS,,0
271,1/2,TABLESPOON (OPTIONAL),ITALIAN HERBS,TABLESPOON,0.5
272,as needed,,EXTRA SEASONING,,0
273,as needed,,EXTRA SEASONING,,0
274,to taste,,RED CHILLI FLAKES,,0
275,1,TEASPOON,RED CHILLI FLAKES,TEASPOON,1
276,to taste,,RED CHILLI FLAKES,,0
277,to taste (optional),,MINT POWDER,,0
278,3,CUPS,BOILING HOT WATER,CUPS,3
279,1,CUP,EXTRA MATURE CHEDDAR CHEESE,CUP,1
280,500,GMS,RADISHES,GMS,500
281,1/2,TABLESPOON,ROCK SALT,TABLESPOON,0.5
282,6,TABLESPOONS,EXTRA VIRGIN OLIVE OIL,TABLESPOONS,6
283,6,TABLESPOONS,EXTRA VIRGIN OLIVE OIL,TABLESPOONS,6
284,2-3,TABLESPOONS,CHOPPED BASIL,TABLESPOONS,3
285,1,TEASPOON,OREGANO,TEASPOON,1
286,1,TEASPOON,ROSEMARY,TEASPOON,1
287,2,TABLESPOONS,BALSAMIC VINEGAR,TABLESPOONS,2
288,1,,GREEN CAPSICUM,,1
289,1,,RED CAPSICUM,,1
290,1/6,CHOPPED,RED CAPSICUM,CHOPPED,0.16666666666666666
291,1,,ORANGE CAPSICUM,,1
292,250,GMS,CHERRY TOMATOES,GMS,250
293,1,LARGE,SWEDE OR CELERIAC,LARGE,1
294,1/2,OF MIXER JAR,FRESH MINT LEAVES,OF MIXER JAR,0.5
295,7-10,LEAVES,BABY SPINACH,LEAVES,10
296,1,TBSP,APPLE CIDER VINEGAR,TBSP,1
297,4,MEDIUM,VINE TOMATOES,MEDIUM,4
