,Amount,Unit,Recipe_name,Ingredient,New Amount,New Unit
19,1/2,CUP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,BAKING SODA,0.5,CUP
20,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,SALT,1,TSP
21,1,TSP, RECIPE_2_WHEAT_GLUTEN_BREAD.MD,DRIED YEAST,1,TSP
22,1,SACHET, RECIPE_3_ALMOND_BREAD.MD,BLANCHED ALMOND FLOUR,1,SACHET
23,3/4,CUP(86G), RECIPE_3_ALMOND_BREAD.MD,BAKING POWDER,0.75,CUP
28,1,TABLESPOON, RECIPE_3_ALMOND_BREAD.MD,LUKEWARM WATER,1,TABLESPOON
29,2,TABLESPOON, RECIPE_3_ALMOND_BREAD.MD,BAKING SPRAY,2,TABLESPOON
30,2-3,SPRAYS, RECIPE_3_ALMOND_BREAD.MD,AVOCADO,3,SPRAYS
31,150,GMS(MEDIUM SIZED), RECIPE_3_ALMOND_BREAD.MD,ONION,150,GMS
32,150,GMS(MEDIUM SIZED CHOPPED), RECIPE_3_ALMOND_BREAD.MD,GARLIC,150,GMS
33,grated,, RECIPE_3_ALMOND_BREAD.MD,TOMATO,0,
34,1,CHOPPED, RECIPE_3_ALMOND_BREAD.MD,GREEN CHILLIES,1,CHOPPED
35,2,CHOPPED, RECIPE_3_ALMOND_BREAD.MD,LEMON,2,CHOPPED
36,1,SQUEEZED, RECIPE_3_ALMOND_BREAD.MD,BLACK PEPPER,1,SQUEEZED
37,to taste,, RECIPE_4_KETO_DHOKLA.MD,FRESH CORRIANDER LEAVES,0,
38,1,BUNCH, RECIPE_4_KETO_DHOKLA.MD,FRESH MINT,1,BUNCH
39,1,BUNCH, RECIPE_4_KETO_DHOKLA.MD,GREEN CHILLI,1,BUNCH
51,2,TABLESPOON, RECIPE_4_KETO_DHOKLA.MD,CORIANDER AND GREEN MINT DIP,2,TABLESPOON
53,2-3,SPRAYS, RECIPE_4_KETO_DHOKLA.MD,BLACK MUSTARD,3,SPRAYS
54,1,TEASPOON, RECIPE_4_KETO_DHOKLA.MD,HOT WATER,1,TEASPOON
56,2,TEASPOONS, RECIPE_4_KETO_DHOKLA.MD,SUGARFREE TOMATO KETCHUP,2,TEASPOONS
59,1,LARGE, RECIPE_5_SCRAMBLED_TOFU.MD,GINGER,1,LARGE
60,1,INCH, RECIPE_5_SCRAMBLED_TOFU.MD,RED ONION,1,INCH
62,3,CLOVES, RECIPE_5_SCRAMBLED_TOFU.MD,AVOCADO OIL,3,CLOVES
63,3,TABLESPOONS, RECIPE_5_SCRAMBLED_TOFU.MD,CUMIN,3,TABLESPOONS
64,1,TEASPOON, RECIPE_5_SCRAMBLED_TOFU.MD,TURMERIC,1,TEASPOON
65,1,TEASPOON, RECIPE_5_SCRAMBLED_TOFU.MD,RED CHILLI POWDER,1,TEASPOON
66,1,TEASPOON, RECIPE_5_SCRAMBLED_TOFU.MD,TOFU,1,TEASPOON
67,250,GMS, RECIPE_5_SCRAMBLED_TOFU.MD,PINK HIMALAYAN SALT,250,GMS
68,to taste,, RECIPE_5_SCRAMBLED_TOFU.MD,PEPPER,0,
71,1,TABLESPOON, RECIPE_1_PEANUT_MUGCAKE.MD,EGG,1,TABLESPOON
72,1,, RECIPE_1_PEANUT_MUGCAKE.MD,SMOOTH PEANUT BUTTER,1,
74,2,PRESSES, RECIPE_2_BOTTLEGOURD_HALWA.MD,BOTTLEGOURD,2,PRESSES
75,1,GRATED, RECIPE_2_BOTTLEGOURD_HALWA.MD,CLARIFIED BUTTER (GHEE),1,GRATED
76,2,TABLESPOONS, RECIPE_2_BOTTLEGOURD_HALWA.MD,DOUBLE CREAM,2,TABLESPOONS
78,2,TABLESPOONS, RECIPE_2_BOTTLEGOURD_HALWA.MD,CARDAMOM POWDER,2,TABLESPOONS
79,1,TEASPOON, RECIPE_2_BOTTLEGOURD_HALWA.MD,CASHEW NUTS,1,TEASPOON
80,5,PIECES, RECIPE_2_BOTTLEGOURD_HALWA.MD,ALMOND NUTS,5,PIECES
81,5,PIECES, RECIPE_2_BOTTLEGOURD_HALWA.MD,PISTACHIO NUTS,5,PIECES
82,10,PIECES, RECIPE_3_PROTEIN_FUDGE.MD,PEA PROTEIN,10,PIECES
83,60,GMS, RECIPE_3_PROTEIN_FUDGE.MD,UNSALTED BUTTER,60,GMS
84,125,GMS, RECIPE_3_PROTEIN_FUDGE.MD,DOUBLE THICK CREAM,125,GMS
86,120,ML, RECIPE_3_PROTEIN_FUDGE.MD,WHOLE MILK,120,ML
88,80,GMS, RECIPE_3_PROTEIN_FUDGE.MD,SAFFRON (KESAR),80,GMS
89,Few strands,, RECIPE_3_PROTEIN_FUDGE.MD,CARDAMOM,0,
90,5,PEELED AND CRUSHED, RECIPE_3_PROTEIN_FUDGE.MD,DRY DESSICATED COCONUT,5,PEELED AND CRUSHED
93,2,TBSP, RECIPE_3_PROTEIN_FUDGE.MD,CRUSHED CASHEW NUTS,2,TBSP
94,30,GMS, RECIPE_3_PROTEIN_FUDGE.MD,VANILLA EXTRACT,30,GMS
95,1,TEASPOON, RECIPE_1_SPARKLING_CINNAMON.MD,WHOLE CINNAMON STICKS,1,TEASPOON
97,0.5,L, RECIPE_1_SPARKLING_CINNAMON.MD,SPARKLING WATER,0.5,L
98,1.5L,, RECIPE_1_SPARKLING_CINNAMON.MD,ICE,1.5,
104,1,TSP(1 TO 2 CHILLIES), RECIPE_10_PALAK_MUSHROOM.MD,CUMIN SEEDS,1,TSP
105,1,TSP, RECIPE_10_PALAK_MUSHROOM.MD,MUSTARD SEEDS,1,TSP
106,1,TSP, RECIPE_10_PALAK_MUSHROOM.MD,BABY SPINACH,1,TSP
107,300,GMS, RECIPE_10_PALAK_MUSHROOM.MD,MUSHROOMS,300,GMS
109,to taste,, RECIPE_10_PALAK_MUSHROOM.MD,GARAM MASALA,0,
110,1,TSP, RECIPE_10_PALAK_MUSHROOM.MD,AMCHOOR POWDER,1,TSP
111,1,TSP, RECIPE_1_TAVA_ROTI.MD,SOYA FLOUR,1,TSP
112,60,GMS (4 TABLESPOONS), RECIPE_1_TAVA_ROTI.MD,WHEAT FOUR,60,GMS
113,10,GMS (2 TEASPOONS), RECIPE_1_TAVA_ROTI.MD,WARM WATER,10,GMS
114,4-6,TABLESPOONS, RECIPE_1_TAVA_ROTI.MD,GHEE,6,TABLESPOONS
130,1,TSP, RECIPE_3_NAAN_BREAD.MD,GREEK YOGURT (SOUR IS BETTER),1,TSP
139,1,SACHET, RECIPE_3_NAAN_BREAD.MD,ONION SEEDS,1,SACHET
141,5,GMS, RECIPE_4_KETO_GATTE.MD,WATER-SOAKED DRY RED CHILLIES,5,GMS
142,4,MEDIUM, RECIPE_4_KETO_GATTE.MD,GREEK YOGHURT,4,MEDIUM
143,1/4,CUP, RECIPE_4_KETO_GATTE.MD,TURMERIC POWDER,0.25,CUP
145,1/4,TSP, RECIPE_4_KETO_GATTE.MD,CLOVES,0.25,TSP
148,1/2,TSP, RECIPE_4_KETO_GATTE.MD,SUNFLOWER SEED FLOUR,0.5,TSP
154,1,TBSP, RECIPE_4_KETO_GATTE.MD,CAROM SEEDS,1,TBSP
163,1/4,TSP, RECIPE_4_KETO_GATTE.MD,ASAFOETIDA,0.25,TSP
164,1/4,TSP, RECIPE_4_KETO_GATTE.MD,DRIED FENUGREEK LEAVES,0.25,TSP
165,1,TBSP, RECIPE_5_BAIGAN_BHARTA.MD,BLACK AUBERGINE LARGE,1,TBSP
172,to taste,, RECIPE_5_BAIGAN_BHARTA.MD,SEASONING,0,
173,as needed,, RECIPE_5_BAIGAN_BHARTA.MD,GREEN CORIANDER,0,
174,1,"SMALL BUNCH, CHOPPED", RECIPE_6_FRIED_OKRA.MD,OKRA,1,"SMALL BUNCH, CHOPPED"
175,500,GMS, RECIPE_6_FRIED_OKRA.MD,AVACADO OIL,500,GMS
176,4,TABLESPOONS, RECIPE_6_FRIED_OKRA.MD,CORRIANDER POWDER,4,TABLESPOONS
184,1,SMALL CHOPPED, RECIPE_7_FRIED_CAULIFLOWER.MD,CAULIFLOWER,1,SMALL CHOPPED
197,1,TABLESPOON, RECIPE_7_FRIED_CAULIFLOWER.MD,CORRIANDER LEAVES,1,TABLESPOON
198,1,SMALL BUNCH, RECIPE_8_SOYA_MALAI.MD,MILK,1,SMALL BUNCH
199,1.5,CUP, RECIPE_8_SOYA_MALAI.MD,SOYA CHUNKS,1.5,CUP
202,3,TBSP, RECIPE_8_SOYA_MALAI.MD,BLACK CARDAMOM,3,TBSP
204,2,, RECIPE_8_SOYA_MALAI.MD,GREEN CARDAMOM,2,
208,1,TBSP CHOPPED, RECIPE_8_SOYA_MALAI.MD,CORIANDER POWDER,1,TBSP CHOPPED
209,1/2,TBSP, RECIPE_8_SOYA_MALAI.MD,CREAM,0.5,TBSP
212,2,MEDIUM, RECIPE_8_SOYA_MALAI.MD,ALMOND PASTE,2,MEDIUM
214,1/4,TSP, RECIPE_8_SOYA_MALAI.MD,FRESHLY GROUND BLACK PEPPER,0.25,TSP
215,1,TBSP, RECIPE_8_SOYA_MALAI.MD,DRY FENUGREEK LEAVES,1,TBSP
228,1,SACHET, RECIPE_9_LOW_CARB_PIZZA.MD,SALTED BUTTER,1,SACHET
230,3-4,LARGE CLOVES, RECIPE_9_LOW_CARB_PIZZA.MD,YELLOW CAPSICUM,4,LARGE CLOVES
231,1/3,, RECIPE_9_LOW_CARB_PIZZA.MD,BROWN CHESTNUT MUSHROOMS,0.3333333333333333,
233,50,GMS(1/2), RECIPE_9_LOW_CARB_PIZZA.MD,CANNED PINEAPPLE,50,GMS
234,50,GMS(1 RING), RECIPE_9_LOW_CARB_PIZZA.MD,PANEER,50,GMS
235,125,GMS, RECIPE_9_LOW_CARB_PIZZA.MD,VIRGIN OLIVE OIL,125,GMS
236,2,TSP, RECIPE_9_LOW_CARB_PIZZA.MD,TANDOORI MASALA,2,TSP
239,to taste,, RECIPE_9_LOW_CARB_PIZZA.MD,PASTA SAUCE,0,
240,3,TBSP, RECIPE_9_LOW_CARB_PIZZA.MD,GRATED MOZZARELLA CHEESE,3,TBSP
241,40,GMS, RECIPE_9_LOW_CARB_PIZZA.MD,GRATED EXTRA MATURE CHEDDAR CHEESE,40,GMS
243,50,GMS, RECIPE_9_LOW_CARB_PIZZA.MD,JALAPENOS,50,GMS
246,1,CUP, RECIPE_1_CHEESE_CRACKERS.MD,GROUND BLACK PEPPER,1,CUP
248,to taste,, RECIPE_1_CHEESE_CRACKERS.MD,ITALIAN HERBS,0,
249,to taste,, RECIPE_1_CHEESE_CRACKERS.MD,EXTRA SEASONING,0,
252,to taste,, RECIPE_2_PANEER_CRACKERS.MD,RED CHILLI FLAKES,0,
253,to taste,, RECIPE_2_PANEER_CRACKERS.MD,MINT POWDER,0,
267,1,CUP, RECIPE_3_PROTEIN_CUTLETS.MD,BOILING HOT WATER,1,CUP
268,3,CUPS, RECIPE_3_PROTEIN_CUTLETS.MD,EXTRA MATURE CHEDDAR CHEESE,3,CUPS
274,as needed,, RECIPE_4_KETO_POTATO.MD,RADISHES,0,
275,500,GMS, RECIPE_4_KETO_POTATO.MD,ROCK SALT,500,GMS
279,2,TABLESPOONS, RECIPE_5_SALAD_FOR_PASTA.MD,EXTRA VIRGIN OLIVE OIL,2,TABLESPOONS
280,6,TABLESPOONS, RECIPE_5_SALAD_FOR_PASTA.MD,CHOPPED BASIL,6,TABLESPOONS
281,2-3,TABLESPOONS, RECIPE_5_SALAD_FOR_PASTA.MD,OREGANO,3,TABLESPOONS
282,1,TEASPOON, RECIPE_5_SALAD_FOR_PASTA.MD,ROSEMARY,1,TEASPOON
285,1,TEASPOON, RECIPE_5_SALAD_FOR_PASTA.MD,BALSAMIC VINEGAR,1,TEASPOON
286,2,TABLESPOONS, RECIPE_5_SALAD_FOR_PASTA.MD,GREEN CAPSICUM,2,TABLESPOONS
287,1,, RECIPE_5_SALAD_FOR_PASTA.MD,RED CAPSICUM,1,
288,1,, RECIPE_5_SALAD_FOR_PASTA.MD,ORANGE CAPSICUM,1,
291,1/4,LARGE, RECIPE_5_SALAD_FOR_PASTA.MD,CHERRY TOMATOES,0.25,LARGE
292,250,GMS, RECIPE_6_FRIES.MD,SWEDE OR CELERIAC,250,GMS
297,to taste,, RECIPE_7_MINT_SPINACH_DIP.MD,FRESH MINT LEAVES,0,
302,7-10,LEAVES, RECIPE_7_MINT_SPINACH_DIP.MD,APPLE CIDER VINEGAR,10,LEAVES
304,1,INCH, RECIPE_7_MINT_SPINACH_DIP.MD,VINE TOMATOES,1,INCH
309,as needed,,,,0,
